urn;text;company_mention_count;profile_mention_count;hyperlink_count;hyperlink_internal_count;hyperlink_external_count;hashtag_count;detected_language;content_type;share_audience;time_zone_name;time_zone_offset_in_minutes;reaction_count;comment_count;direct_comment_count;share_count;view_count;did_self_like;did_company_like;company_reaction;synchronized_reaction_count;synchronized_comment_count;synchronized_share_count;synchronized_stats_at;reshared_share_urn;post_scheduled_date;post_created_at;post_updated_at;post_published_at;post_deleted_at;impression_count;tags;post_url;image_urls;document_url;posted_by_profile;posted_by_company;posted_in_group;reaction_count_like;reaction_count_interest;reaction_count_praise;reaction_count_empathy;reaction_count_entertainment;reaction_count_appreciation;reaction_count_maybe;text_characters;text_words;text_paragraphs;text_sentences;text_reading_time_ms;text_readability_index
urn:li:share:7298114615865966592;"Provavelmente você já viu a situação da imagem. 

É uma situação ""comum"" entre os profissionais de dados. 

Existirá um dia meus amigos, onde os papeis estarão definidos, o analista fará somente o papel do analista, o engenheiro fará somente o papel do engenheiro e assim por diante. 

Mas esse dia não é hoje, nem amanhã!

Então você pode ficar resmungando no canto esperando por esse dia ou você pode aceitar essa realidade e usá-la como uma oportunidade. 

Um analista exercer mais funções é uma excelente oportunidade para ter contato com as outras áreas como engenharia ou ciência de dados. 

A maturidade que você consegue ao se tornar um ""severino dos dados"" é algo muito gratificante e te torna em um excelente profissional capaz de lidar com qualquer situação. 

Mas já te dou um spoiler. 

Vai ser difícil!
Vai ser cansativo!

Mas no fim vai ser muito gratificante ver o quão #### (bom) você é e as coisas com as quais consegue lidar.

Então se você lida com esse tipo de situação, tenta tirar proveito e usar isso para potencializar sua carreira. 

Te garanto que é mais útil do que ficar reclamando. 

A gente até reclama, mas faz, e faz muito bem mesmo! 

______

Se você procura um profissional versátil igual ao Bob Esponja abaixo e com um bigode encantador (ou quase) sinta-se a vontade para me chamar. 

Porém, esse Bob Esponja aqui só está buscando vagas remotas. 😅";0;0;0;0;0;0;pt;Image;public;;;136;3;;2;;;;;136;3;2;2025-03-06T21:48:04.296Z;;;2025-02-20T12:00:02.759Z;2025-02-20T12:00:02.759Z;2025-02-20T12:00:02.759Z;;7844;;https://www.linkedin.com/feed/update/urn:li:share:7298114615865966592;https://depository.authoredup.com/images/IMG_4K2uPoyZnhp7AMDzR5seFnnRkCXDJc;;Thanael Butewicz;;;101;1;6;1;27;0;0;1039;245;17;18;58800;5.35
urn:li:share:7297761031794155522;"Se o Serasa cobrasse dívida técnica, todo mundo tava lascado. 🤣 

Dívida técnica é versão tecnológica de ""Na volta a gente compra"". 

Algo que não vejo comentarem muito aqui na rede, mas que impacta e muito na área de dados também, são as dívidas técnicas. 

Dentro da área é precisamos realizar as entregas o mais rápido possível, pois o foco está em resolver o problema.

Porém, nessa agilidade, muitos pontos podem passar despercebidos, pontos como a preocupação com qualidade ou manutenção futura.

E mesmo que exista essa preocupação, eles podem aumentar o prazo da entrega, saindo da expectativa e da necessidade do cliente. 

Então é comum entregarmos um MVP e criarmos as atividades de melhoria para serem trabalhados futuramente no backlog. 

-------------------------------------------------------------

Você já foi no mercado e pediu um chocolate e sua mãe falou ""Na volta a gente compra"" ? 

-------------------------------------------------------------

Então assim como você ficou sem o chocolate, muito provavelmente essas atividades nunca vão sair do Backlog. 

Isso ocorre por que dificilmente elas serão priorizadas novamente, pois sempre vai ter algo novo ou algum incêndio para apagar. 

Mas com um bom planejamento e gestão de backlog pode ser que um dia elas saiam do Backlog.

Spoiler: Na maioria das vezes o sair é arquivar/matar a atividade. 

-------------------------------------------------------------

E se você quer uma melhor organização do seu backlog de dados, basta me mandar a vaga 🤣 desde que seja remota. 

Sim... é uma forma de dizer que se você tiver oportunidade remota em dados, pode me chamar.";0;0;0;0;0;0;pt;Image;public;;;79;6;;1;;;;;79;6;1;2025-03-06T21:48:04.180Z;;;2025-02-19T12:03:05.943Z;2025-02-19T12:03:05.943Z;2025-02-19T12:03:05.943Z;;5345;;https://www.linkedin.com/feed/update/urn:li:share:7297761031794155522;https://depository.authoredup.com/images/IMG_EN7zkvcW6SQ5ZniU56DfzryxSvaNnf;;Thanael Butewicz;;;41;1;4;1;32;0;0;1284;266;17;19;63840;8.31
urn:li:share:7296611961356652544;"Da série de Macetes úteis como WHERE 1=1 e 1=0 

Randomize o resultado da sua consulta com ORDER BY RANDOM( )

Sábia que o RANDOM( ) tem mais funcionalidades do que somente gerar um número aleatório ? 

Uma delas que tenho começado a usar é o ORDER BY RANDOM( ), através dela randomizamos o retorno da consulta. 

Isso é muito útil quando você precisa obter uma amostra dos seus dados de modo com que não esteja enviesada através de um ASC ou DESC padrão. 

Muito similar ao SAMPLE( ) do pandas.";0;0;0;0;0;0;pt;Image;public;;;1391;57;;18;;;;;1391;57;18;2025-03-06T21:48:04.060Z;;;2025-02-18T12:00:11.487Z;2025-02-18T12:00:11.487Z;2025-02-18T12:00:11.487Z;;138823;;https://www.linkedin.com/feed/update/urn:li:share:7296611961356652544;https://depository.authoredup.com/images/IMG_izWrwwYRHG5A7UcxszpbGKah1TiHic;;Thanael Butewicz;;;1029;126;24;33;177;2;0;367;95;6;6;22800;4.68
urn:li:share:7296985722345918465;"Todos sabem que metodologias ágeis são importantes. 

Não só no DEV, em dados também é crucial para evitar a pastelaria. 

Pastelaria de dados é um tema complexo que afeta a maioria dos times de dados, principalmente em empresas com a área ainda em desenvolvimento. 

Existe uma solução definitiva para isso ? Se existe ainda não conheço.

Uma abordagem que estou testando e validando é a utilização das práticas de metodologias ágeis com o objetivo de reduzir o efeito da pastelaria. 

Não precisa ser implementações complexas, aqui ao realizar ações de  Product Owner e Product Manager percebi uma melhora muito grande. 

Principalmente ao começar a focar mais no processo de desenvolvimento, entender qual a capacidade do time e como gerenciar isso. 

Pontos importantes como. 
- Quantas atividades o time entrega no mês. 
- O Backlog está andando ou o time vive de ""atividades urgentes"" 
- O processo de ""chamados"" está funcionando como deveria? 
- Tudo é Urgente o tempo todo ? 

Mesmo não sendo uma bala de prata, estou começando a ver sinais muito bons de melhora. 

Mas é um deslize e quando vemos estamos fritando pastel initerruptamente.";0;0;0;0;0;0;pt;Image;public;;;909;40;;20;;;;;909;40;20;2025-03-06T21:48:04.193Z;;;2025-02-17T12:00:05.883Z;2025-02-17T12:00:05.883Z;2025-02-17T12:00:05.883Z;;59509;;https://www.linkedin.com/feed/update/urn:li:share:7296985722345918465;https://depository.authoredup.com/images/IMG_NGzveNmDs3FtWGV2GTgqwo3hxhPCoA;;Thanael Butewicz;;;489;2;4;5;408;1;0;886;195;14;15;46800;6.47
urn:li:share:7296121647537782784;"Qual o risco de ter tabelas velhas no banco? 



Elas podem ter problema na coluna....";0;0;0;0;0;0;pt;Image;public;;;191;10;;3;;;;;191;10;3;2025-03-06T21:48:04.052Z;;;2025-02-14T12:00:05.308Z;2025-02-14T12:00:05.308Z;2025-02-14T12:00:05.308Z;;10213;;https://www.linkedin.com/feed/update/urn:li:share:7296121647537782784;https://depository.authoredup.com/images/IMG_hXhSRFKDRcNdfZuyEY6a4hVycKv5cv;;Thanael Butewicz;;;50;0;1;0;140;0;0;63;15;2;2;3600;2.1
urn:li:share:7295608075976085504;"Como rodar WebScraping através do Airflow ? 

Da mesma forma que um Indiano me ajudou, eu ajudarei você. 🤝 

Há algum tempo precisei fazer alguns WebScraping via Selenium e na hora de rodar isso através do Airflow me deparei com a seguinte situação. 

""Como vou subir a instância do Navegador através destes serviços ?"" 

Acaba que não é possível você subir a instância do navegador durante a execução, pois você está executando o script a partir de um serviço e não necessariamente uma máquina. 

Fonte: TDC (Tirei do ##) 🤣 

Então você precisará fazer o seguinte, anota aí o passo a passo. 

1️⃣  Subir uma instância do Navegador via Docker.
2️⃣  Referenciar essa instância no seu script ao invés de subir uma. 

E é isso, simples assim. 

""Mas subir a instância via Docker deve ser muito complicado"".

Segue o comando que faz isso 🤣 

""docker run -d -p 4444:4444 -p 7900:7900 --shm-size=""2g"" selenium/standalone-chrome:latest""

Ao fazer isso você vai ter uma instância do navegador sendo rodada na porta 4444 através do Selenium Grid.

Ah se você tentar acessar vai pedir uma senha... a senha é ""secret"" 🤣

Agora com um navegador já instanciado basta você ajustar seu script para usar essa instância já levantada.  

driver = webdriver.Remote(command_executor='http://localhost:4444', options=options)

OBS: Você vai precisar passar o IP da máquina onde está o Docker. 

Isso fará com que ao invés de subir uma instância ele utilize o navegador já instanciado via Docker. 

E você pode gerenciar essa instância através do http://localhost:4444/ui/

E com isso você conseguirá executar tranquilamente seu WebScraping via Airflow ou outro serviço. 

É a melhor alternativa? Não tenho ideia, mas para mim vem funcionando, e olha que pesquisei muito até encontrar essa solução. 

Um salve especial aos indianos no Youtube sempre salvando minha vida, melhor que a maioria das IAs...

E com isso encerro essa série de Postagens sobre WebScraping, espero que tenham gostado, e logo trago uma série diferente.";0;0;0;0;0;0;pt;Image;public;;;235;26;;11;;;;;235;26;11;2025-03-06T21:48:04.248Z;;;2025-02-13T12:00:24.774Z;2025-02-13T12:00:24.774Z;2025-02-13T12:00:24.774Z;;12568;;https://www.linkedin.com/feed/update/urn:li:share:7295608075976085504;https://depository.authoredup.com/images/IMG_qfKVxpTdT1rnw8bfjw61da6YnRkeEv;;Thanael Butewicz;;;182;28;12;12;1;0;0;1529;347;24;28;83280;5.52
urn:li:share:7294829961469689858;"Diferentes Abordagens de Web Scraping.

Qual a diferença entre Sites Estáticos e Dinâmicos?

Como comentei no post anterior, Web Scraping é uma técnica muito útil que possibilitará uma nova forma de extrair dados. 

Porém, a abordagem que você vai utilizar vai depender de qual site você deseja extrair os dados. 

A primeira abordagem são em Sites Estáticos onde você utilizará somente o BeautifulSoup4. 

São aqueles sites que não existe necessidade de interações e o conteúdo já está todo completo no HTML. 

Essa é a forma mais simples de fazer um Scraping de dados. 

Agora a outra mais complexa é para extrair dados de Sites Dinâmicos, onde pode ser utilizado Selenium que é uma ferramenta de testes que permite a interação com o site através de código. 

Essa é mais complexa, porém muito mais potente, onde você consegue ""navegar"" e interagir por um site através de Python por exemplo. 

Uma característica desta abordagem é a necessidade de um ""navegador instanciado"" para tornar possível essa interação com os sites. 

E esse ""navegador instanciado"" é a parte chata para conseguir rodar um Scraping com Selenium em uma ferramenta de ETL como o Airflow por exemplo.

Porém existe uma abordagem muito simples para tornar isso possível e ela que vou estar trazendo no post de amanhã. 

Sobre o meme não tenho ideia de quem são os personagens, mas se tem o Pepe (sapo) eu to usando.";0;0;0;0;0;0;pt;Image;public;;;497;42;;11;;;;;497;42;11;2025-03-06T21:48:04.256Z;;;2025-02-12T12:00:19.171Z;2025-02-12T12:00:19.171Z;2025-02-12T12:00:19.171Z;;28922;;https://www.linkedin.com/feed/update/urn:li:share:7294829961469689858;https://depository.authoredup.com/images/IMG_GrLWN7gxozhVd8SUFQoH3RrERwiHmb;;Thanael Butewicz;;;389;5;11;17;72;3;0;1065;249;13;13;59760;8.29
urn:li:share:7294515020434960384;"Você só obtém dados de APIs ou arquivos CSVs ? 

Existe uma outra forma de obter dados muito útil. 

Na grande maioria das vezes seus dados vão estar disponíveis através de APIs ou arquivos CSVs, mas existirão casos onde isso não ocorrerá.

Nesses casos uma abordagem é utilizar Web Scraping, que consiste em uma técnica de ""raspagem de dados"".

Através dele você consegue obter os dados que estão disponíveis no HTML de uma aplicação. 

Existem duas abordagens de Web Scraping que pretendo explicar numa outra postagem, que são em Sites Estáticos e outra em Sites Dinâmicos. 

Não é tão comum usar Web Scraping, porém é importante conhecê-lo e saber que em algum momento você precisará usá-lo. 

Durante essa semana farei uma séria de conteúdos sobre Web Scraping. 

Principalmente como rodar Web Scraping em ambientes de ETL como no Airflow ou outro serviço. 

Muito dessa série será baseada em artigo que fiz para a Casa do Desenvolvedor (Link nos comentários)";1;0;0;0;0;0;pt;Image;public;;;1212;125;;26;;;;;1212;125;26;2025-03-06T21:48:04.281Z;;;2025-02-11T12:00:05.093Z;2025-02-11T12:00:05.093Z;2025-02-11T12:00:05.093Z;;179353;;https://www.linkedin.com/feed/update/urn:li:share:7294515020434960384;https://depository.authoredup.com/images/IMG_PyyzxyFw8tiWR3yrJwzVwVbjqRuf8A;;Thanael Butewicz;;;911;21;38;25;216;1;0;736;179;10;10;42960;6.89
urn:li:share:7294508926992093185;"""Meu ano só começa quando passa fevereiro""🎵 - Quem dera! 

Após um Janeiro interminável, já se foi 1/3 de Fevereiro. 

Duvido que conheçam essa referência, mas é de uma música de Selvagens À Procura da Lei, ""Brasileiro"" - Muito boa por sinal. 

Janeiro foi muito cansativo, mas fevereiro será diferente, para mim pelo menos vai ser bem diferente. 

Aproveitei para me mudar novamente 😅 e vou passar o mês em Piratuba - SC uma cidade bem pequena. 

Pequena ao nível de eu ter mais seguidores do que a cidade tem de moradores. (Nunca pensei que falaria isso, é quase o dobro ainda)

Vou aproveitar esse mês para tirar muitas ideias do papel e focar nos conteúdos sobre dados aqui na rede. 

Então esperem ver muita coisa aqui na rede, sobre viagens, dados, ou o que der vontade de trazer aqui. 

Spoiler: A Newsletter vai voltar  👀";0;0;0;0;0;0;pt;Image;public;;;15;2;;0;;;;;15;2;0;2025-03-06T21:48:04.286Z;;;2025-02-10T12:00:01.597Z;2025-02-10T12:00:01.597Z;2025-02-10T12:00:01.597Z;;1437;;https://www.linkedin.com/feed/update/urn:li:share:7294508926992093185;https://depository.authoredup.com/images/IMG_ZEQ7S6hV2MK7MhTRn4darRbYT9mLnU;;Thanael Butewicz;;;12;0;3;0;0;0;0;623;153;9;10;36720;5.4
urn:li:share:7293594746009092097;"Por que é tão difícil se conectar com alguns bancos de dados?



Porque são bancos não relacionais.";0;0;0;0;0;0;pt;Image;public;;;244;21;;1;;;;;244;21;1;2025-03-06T21:48:04.153Z;;;2025-02-07T12:00:05.671Z;2025-02-07T12:00:05.671Z;2025-02-07T12:00:05.671Z;;11246;;https://www.linkedin.com/feed/update/urn:li:share:7293594746009092097;https://depository.authoredup.com/images/IMG_xX7RUtrwiY43VeC4KJVaZgRBpWYNDj;;Thanael Butewicz;;;76;1;1;1;164;1;0;73;20;2;2;4800;1
